PAGE,FOOTER BEFORE,FOOTER AFTER,STATUS
a-propos.html,Global JS injected footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
artisan-profile.html,Global JS injected footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
artisans.html,Global JS injected footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog-index.html,blog-index-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/ampoule-grille-souvent.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/artisan-verifie-maroc.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/avis-artisans-fixeo.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/barre-anti-panique.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/bidet-installation-maroc.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/cablage-maison-renovation.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/cable-chauffe-plancher.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/calcaire-tuyaux-traitement.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/canalisation-bouchee.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/canalisation-externe-jardins.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/canon-serrure-casse.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/changer-serrure-appartement.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/chauffe-eau-fuit.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/choisir-climatisation-maroc.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/cle-a-pompe-securite.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/cle-cassee-dans-serrure.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/clef-perdue-remplacer.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/clim-bruyante.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/clim-casserolle.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/clim-eau-interieur.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/clim-fuit-eau.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/clim-mode-degivrage.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/clim-ne-refroidit-plus.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/clim-ne-s-allume-plus.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/clim-odeur-mauvaise.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/climatisation-agadir.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/climatisation-locaux-commerciaux.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/climatisation-multi-split.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/climatisation-reversible.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/comment-choisir-plombier-maroc.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/compresseur-clim-en-panne.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/compteur-eau-fuite.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/compteur-electrique-probleme.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/consommation-electrique-clim.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/copropriete-serrure-parties-communes.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/coupure-courant-frequente.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/court-circuit-maison.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/cylindre-europeen-changer.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/detecteur-fumee-installation.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/detection-fuite-eau-cachee.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/digicode-installation-immeuble.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/disjoncteur-saute-souvent.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/domotique-maison-maroc.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/effraction-renforcement-securite.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/electricien-rabat-agdal.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/electricite-exterieur-jardin.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/electricite-salle-de-bain.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/entretien-chauffe-eau-solaire.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/entretien-clim-annuel.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/entretien-clim-hivernal.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/evacuation-eau-lente.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/ferme-porte-installation.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/fuite-chasse-eau.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/fuite-eau-mur.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/fuite-sous-evier.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/garantie-intervention-fixeo.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
blog/generateur-groupe-electrogene.html,blog-article-footer,Canonical public gf5a; contextual links retained,"PASS — DOM, assets, idempotence, links retained; visual device review pending"
